configsversionstring,configversion,deltamediaversionstring,device,endlatitude,endlocaltime,endlongitude,endodometer,filedate,filetimeutc,firmwareversionstring,fullmediaversionstring,key,numbsmtx,numcanoutages,numgnssoutages,numinforms,numintersectionencounters,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,pluginsversionstring,startlatitude,startlocaltime,startlongitude,startodometer,storageused,swversionmaj,swversionmin,totalstorageondevice,utctime,uuid
,0,,102013,40.22379860295613,67535634,-83.36974591428174,42811879,20200601,183239,,,eyJkZXZpY2UiOjEwMjAxMywidXRjdGltZSI6MTU5MTAzNjM1OTY2N30=,7673,13,0,0,0,0,0,8406,0,,40.249428018882476,67126497,-83.37266847475517,-1000,,2,2,,1591036359667,b4117a78c841b01ce1d191bf72d4517c
,0,,102013,40.25513532435458,68994779,-83.37234860812342,42823877,20200601,185050,,,eyJkZXZpY2UiOjEwMjAxMywidXRjdGltZSI6MTU5MTAzNzQ1MDA4MX0=,13192,13,0,0,0,0,0,21012,0,,40.22379860295613,67850666,-83.36974591428174,-1000,,2,2,,1591037450081,06c3a003fbde087549d34fa29af31140
,0,,100085,40.26908400468822,68857943,-83.37551121363943,177233496,20200601,185115,,,eyJkZXZpY2UiOjEwMDA4NSwidXRjdGltZSI6MTU5MTAzNzQ3NTQ2Mn0=,10980,13,0,0,0,0,0,6536,0,,40.28540305210278,68129370,-83.52700977200621,-1000,,2,2,,1591037475462,d506631cda79666f27c16daa0d0dcd1a
,0,,101315,40.236978700111145,68646211,-83.35022581698772,355949999,20200601,185735,,,eyJkZXZpY2UiOjEwMTMxNSwidXRjdGltZSI6MTU5MTAzNzg1NTE3NH0=,3845,13,0,0,0,0,0,6547,0,,40.240885899786036,68255773,-83.39512467185703,-1000,,2,2,,1591037855174,d2ce1fe04e18c3a1227cb0cc61917393
,0,,101084,40.09497950806398,69441865,-83.13176177898961,21319939,20200601,191020,,,eyJkZXZpY2UiOjEwMTA4NCwidXRjdGltZSI6MTU5MTAzODYyMDQzOX0=,3502,5,0,0,0,0,0,43,0,,40.07562026582592,69170242,-83.12819443396361,-1000,,2,3,,1591038620439,20d401291025ee4ff87571f2ec743dca
,0,,101315,40.24211045683886,69278989,-83.33837987054623,355951985,20200601,191118,,,eyJkZXZpY2UiOjEwMTMxNSwidXRjdGltZSI6MTU5MTAzODY3ODY2OH0=,1921,13,0,0,0,0,0,7780,0,,40.236978700111145,69079169,-83.35022581698772,-1000,,2,2,,1591038678668,6b0c2420d56a66a09a41cb824722ac2c
,0,,101315,40.238100911494215,69666126,-83.3398063945327,355951985,20200601,192049,,,eyJkZXZpY2UiOjEwMTMxNSwidXRjdGltZSI6MTU5MTAzOTI0OTAxM30=,0,13,0,0,0,0,0,0,0,,40.24211045683886,69649013,-83.33837987054623,-1000,,2,2,,1591039249013,bb790a4b692240e50489cbc32bfbdd7d
,0,,102013,40.22396630329009,70562741,-83.36963612282355,42829877,20200601,192550,,,eyJkZXZpY2UiOjEwMjAxMywidXRjdGltZSI6MTU5MTAzOTU1MDk5M30=,6042,13,0,1,0,0,0,9231,0,,40.249387691916574,70204604,-83.37267004948752,-1000,,2,2,,1591039550993,ce61a5440386a2b80e7acad6cd5922c4
,0,,101315,40.23561208937298,71071869,-83.18784970100016,355967978,20200601,193308,,,eyJkZXZpY2UiOjEwMTMxNSwidXRjdGltZSI6MTU5MTAzOTk4ODIwMX0=,8193,13,0,0,0,0,0,121,0,,40.23355233186744,70462507,-83.32793987938801,-1000,,2,2,,1591039988201,020143f400c48f29143830cfaa588923
,0,,101260,40.08403027449096,74018749,-83.14155748323664,-1000,20200601,202839,,,eyJkZXZpY2UiOjEwMTI2MCwidXRjdGltZSI6MTU5MTA0MzMxOTU1MX0=,4433,7,0,0,0,0,0,113,0,,40.09482940456058,73742225,-83.13234649392358,-1000,,2,3,,1591043319551,9011a01679eb1146599c5601255ef331
,0,,102013,40.249407977589726,74224982,-83.37261774339838,42834878,20200601,203120,,,eyJkZXZpY2UiOjEwMjAxMywidXRjdGltZSI6MTU5MTA0MzQ4MDQ2Mn0=,5915,13,0,0,0,0,0,8765,0,,40.22396630329009,73881050,-83.36963612282355,-1000,,2,2,,1591043480462,e8cf30589ba62b224ed7159e50e13187
,0,,102434,40.05055774443261,76529165,-83.02020370257767,9281973,20200601,203301,,,eyJkZXZpY2UiOjEwMjQzNCwidXRjdGltZSI6MTU5MTA0MzU4MTcyNn0=,27286,3,0,0,2,246,0,3114,0,,40.28541256630966,74258143,-83.52700114657041,-1000,,2,3,,1591043581726,85f940c9fbf61e4f55ef12dcc82d234b
,0,,103940,40.25803838798025,76671140,-83.37360413772608,-1000,20200601,210320,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MTA0NTQwMDMwMX0=,10074,4,0,0,4,141,0,6479,0,,40.28537129296793,75958270,-83.52706075540861,-1000,,2,3,,1591045400301,c32cf24371a52cc13c99246261fa970c
,0,,101228,40.2853792991771,76943106,-83.52697213217732,119842658,20200601,210511,,,eyJkZXZpY2UiOjEwMTIyOCwidXRjdGltZSI6MTU5MTA0NTUxMTQwNX0=,11613,3,0,0,4,136,0,5942,0,,40.26673886559518,76250541,-83.37477785498673,-1000,,2,3,,1591045511405,a226ba384890c9d747cc609e52a9b21d
,0,,103940,40.25618736751876,77793334,-83.3851855186839,-1000,20200601,213259,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MTA0NzE3OTgyMn0=,0,7,0,0,0,0,0,0,0,,40.26705673535134,77579822,-83.3779290257301,-1000,,2,3,,1591047179822,4b9195a64dd90cc371f19809ced43d25
,0,,102816,40.334978264425345,78024314,-83.46739631956409,31281910,20200601,213457,,,eyJkZXZpY2UiOjEwMjgxNiwidXRjdGltZSI6MTU5MTA0NzI5NzE3NH0=,2568,5,0,0,0,0,0,0,0,,40.314151387182015,77764292,-83.4712336827488,-1000,,2,3,,1591047297174,1ababf1f0c1691e2c9eb9097e64d0a63
,0,,102629,40.133359493409614,79553818,-83.17965960101094,166887527,20200601,213740,,,eyJkZXZpY2UiOjEwMjYyOSwidXRjdGltZSI6MTU5MTA0NzQ2MDQxN30=,17916,13,0,0,0,282,0,1932,0,,40.28541490309729,78063775,-83.52698049746454,-1000,,2,2,,1591047460417,6c39dbe9350ba4a14473205cd7fa9710
,0,,100943,40.07321513255481,78326863,-83.1382050940736,25811926,20200601,213912,,,eyJkZXZpY2UiOjEwMDk0MywidXRjdGltZSI6MTU5MTA0NzU1MjUyMH0=,3470,5,0,0,0,0,0,0,0,,40.06414212659114,78202852,-83.1418662606604,-1000,,2,3,,1591047552520,1e7d6ffa47f4d31de4c5284589c124b9
,0,,102816,40.33178593375285,78287509,-83.46409527872787,31281910,20200601,214326,,,eyJkZXZpY2UiOjEwMjgxNiwidXRjdGltZSI6MTU5MTA0NzgwNjYwNX0=,726,5,0,0,0,0,0,0,0,,40.33497859775866,78207202,-83.46739615289735,-1000,,2,3,,1591047806605,0c96afbc8ddb3f6f5cb41a22b56845a5
,0,,100943,40.06423097404834,78483001,-83.14193473225191,25813926,20200601,214617,,,eyJkZXZpY2UiOjEwMDk0MywidXRjdGltZSI6MTU5MTA0Nzk3NzQ5Mn0=,2397,5,0,0,0,0,0,0,0,,40.07321513255481,78378091,-83.1382050940736,-1000,,2,3,,1591047977492,10c1e08b353573e94f91efc3e6cd540b
,0,,103540,40.146107825050876,79348969,-82.70108486020533,40501885,20200601,215306,,,eyJkZXZpY2UiOjEwMzU0MCwidXRjdGltZSI6MTU5MTA0ODM4NjMxOX0=,5598,13,0,0,0,0,0,0,0,,40.18889353671119,78927330,-82.75662440250815,-1000,,2,0,,1591048386319,956bc3b89cb37f20831519d9c6dc1a64
,0,,101829,40.10330918148646,79159365,-83.16367806405309,0,20200601,215336,,,eyJkZXZpY2UiOjEwMTgyOSwidXRjdGltZSI6MTU5MTA0ODQxNjM1NX0=,2847,11,0,0,0,0,0,52,0,,40.12733257980046,78869740,-83.17576721405896,-1000,,2,3,,1591048416355,e49d7167bdbc4cb078be2eccc1715797
,0,,101829,40.1175289371798,79838097,-83.17729599637407,0,20200601,220722,,,eyJkZXZpY2UiOjEwMTgyOSwidXRjdGltZSI6MTU5MTA0OTI0Mjg4Mn0=,3384,11,0,0,0,0,0,21,0,,40.10358018148576,79643481,-83.16386656403353,0,,2,3,,1591049242882,67abf4a630330bd19b3a6b43b5cf1885
,0,,103540,40.14638009780997,79894864,-82.70706103798771,40502885,20200601,220910,,,eyJkZXZpY2UiOjEwMzU0MCwidXRjdGltZSI6MTU5MTA0OTM1MDY1OX0=,1411,13,0,0,0,0,0,0,0,,40.146107825050876,79751251,-82.70108486020533,-1000,,2,0,,1591049350659,b4be4049ef8ed3560be7f951930b2a33
,0,,103760,40.10293570734434,81727868,-83.1636754608237,12401964,20200601,221337,,,eyJkZXZpY2UiOjEwMzc2MCwidXRjdGltZSI6MTU5MTA0OTYxNzY1NX0=,16838,5,0,0,-1,0,0,1657,0,,40.28537110272355,80188513,-83.52705953370615,-1000,,2,4,,1591049617655,284b59bddeed5f334844434c09fe02b8
,0,,101260,40.095350717214714,81874935,-83.15859364368559,17417951,20200601,224138,,,eyJkZXZpY2UiOjEwMTI2MCwidXRjdGltZSI6MTU5MTA1MTI5ODMyMX0=,3881,5,0,0,0,0,0,4299,0,,40.091731033570454,81848233,-83.1582961003387,-1000,,2,3,,1591051298321,6743288e95801227b24fa0a6fe91deec
,0,,101260,40.09174685573986,82538474,-83.15867160644655,-1000,20200601,225125,,,eyJkZXZpY2UiOjEwMTI2MCwidXRjdGltZSI6MTU5MTA1MTg4NTE1Mn0=,3815,9,0,0,0,0,0,4922,0,,40.09533894649013,82512872,-83.15876134260839,-1000,,2,3,,1591051885152,6c9aec96d37272f6bcd78dfc4842adc6
,0,,103540,40.18887861631891,83155609,-82.75655714186406,40513883,20200601,225626,,,eyJkZXZpY2UiOjEwMzU0MCwidXRjdGltZSI6MTU5MTA1MjE4NjE2OX0=,6963,13,0,0,0,0,0,0,0,,40.14638009780997,82586756,-82.70706103798771,-1000,,2,0,,1591052186169,15d1b68fa4892738b4c3906e5ff92fba
,0,,103760,40.10972964461784,85981177,-83.1594410340411,12404964,20200601,234957,,,eyJkZXZpY2UiOjEwMzc2MCwidXRjdGltZSI6MTU5MTA1NTM5NzU2NH0=,3890,5,0,0,-1,0,0,772,0,,40.10293570734434,85798161,-83.1636754608237,-1000,,2,4,,1591055397564,6574633a9863e4f802624d4a3fe6cd0c
,0,,102394,200.0,109828,200.0,14297959,20200602,139,,,eyJkZXZpY2UiOjEwMjM5NCwidXRjdGltZSI6MTU5MTA1NjA5OTgyNX0=,0,5,0,0,0,0,0,0,0,,200.0,99825,200.0,-1000,,2,3,,1591056099825,f9d0cd2b3b9b895c1f436c9a73d070a0
,0,,102394,40.16157706994107,436358,-83.02182318871871,14299958,20200602,342,,,eyJkZXZpY2UiOjEwMjM5NCwidXRjdGltZSI6MTU5MTA1NjIyMjIzOH0=,2066,5,0,0,0,0,0,0,0,,40.15797522936951,222238,-83.02746259548458,-1000,,2,3,,1591056222238,898a7b7d91cfb7fc612308de775acdd8
,0,,103760,40.118777105845815,274375,-83.16078300015245,12404964,20200602,423,,,eyJkZXZpY2UiOjEwMzc2MCwidXRjdGltZSI6MTU5MTA1NjI2MzA3NH0=,22,5,0,0,-1,0,0,0,0,,40.1187271058459,263074,-83.16074600015222,-1000,,2,4,,1591056263074,ce58885403a72a60c076eb3d668ecf2b
,0,,100625,40.06920817255739,2071684,-83.15974650158951,-1000,20200602,436,,,eyJkZXZpY2UiOjEwMDYyNSwidXRjdGltZSI6MTU5MTA1NjI3NjgxMX0=,19627,-2,0,0,0,0,0,3605,0,,40.28536340531726,456426,-83.52707540684067,-1000,,2,2,,1591056276811,0cf8b59ba3a61800aae780287544ca06
,0,,101084,40.07591255511345,665043,-83.1282794487759,21323938,20200602,635,,,eyJkZXZpY2UiOjEwMTA4NCwidXRjdGltZSI6MTU5MTA1NjM5NTg2Nn0=,4286,5,0,0,0,0,0,60,0,,40.09497950806398,418622,-83.13176177898961,-1000,,2,3,,1591056395866,752baf313b216cca44b95dd03d502eb3
,0,,102816,40.31519006548085,606790,-83.45775784891217,31286911,20200602,746,,,eyJkZXZpY2UiOjEwMjgxNiwidXRjdGltZSI6MTU5MTA1NjQ2NjQ4NX0=,1907,5,0,0,0,0,0,0,0,,40.33178593375285,485182,-83.46409527872787,-1000,,2,3,,1591056466485,aadc9d8619c5fe23baefe6720758eab2
,0,,102394,40.15869126773728,2650642,-83.0271611623845,14301959,20200602,4047,,,eyJkZXZpY2UiOjEwMjM5NCwidXRjdGltZSI6MTU5MTA1ODQ0NzYyNH0=,1942,5,0,0,0,0,0,0,0,,40.16157706994107,2447624,-83.02182318871871,-1000,,2,3,,1591058447624,056dbc5982c3fcb52b107981f2c567b7
