basicvehicleclass,brakestatus_x,bsmpsid,elevation_x,gpsspeed_x,heading_x,latitude_x,longaccel_x,longitude_x,rvdevice,rvrandomid,yawrate_x,absstatus,brakestatus_y,closestintersectid,elevation_y,fixtypehvgps,gpsorientsemimaj,gpssemimajaxis,gpssemiminaxis,gpsspeed_y,heading_y,headlamp,latitude_y,longaccel_y,longitude_y,speed,stabilitycontrolstatus,steerangle,throttlepospct,traccontrolstatus,transstate,turnsignal,wiper,yawrate_y
0,0,32,250.1,19.7,175.325,40.1148675,0.33,-83.1770505,140,10367,0.24,0.0,0.0,0.0,252.41,2.0,160.0,0.54,0.33,30.611334,158.71,0.0,40.11283932348204,0.095479965,-83.18146848833757,30.969444,0.0,1.9,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.3,19.68,175.375,40.11476,0.09,-83.1770394,140,10367,0.0,0.0,0.0,0.0,252.61,2.0,160.0,0.54,0.33,30.627264,158.58,0.0,40.11271099251688,-0.00022315979,-83.18140312592234,31.041666,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.4,19.599998,175.35,40.1146706,0.14,-83.1770299,140,10367,-0.24,0.0,0.0,0.0,252.71,2.0,160.0,0.53,0.33,30.62932,158.56,0.0,40.11258265955218,0.23903656,-83.18133762145105,31.030556,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.5,19.56,175.4125,40.1145816,0.09,-83.1770206,140,10367,0.0,0.0,0.0,0.0,252.91,2.0,160.0,0.53,0.33,30.603624,158.58,0.0,40.11245432584977,0.095479965,-83.18127212592752,30.969444,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,250.6,19.4,175.375,40.1144931,-0.04,-83.1770114,140,10367,0.0,0.0,0.0,0.0,253.11,2.0,160.0,0.53,0.33,30.611847,158.57,0.0,40.11232615936717,0.14333344,-83.18120645702645,31.030556,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.6,19.32,175.3875,40.1144227,0.04,-83.1770041,140,10367,0.0,0.0,0.0,0.0,253.41,2.0,160.0,0.53,0.33,30.565598,158.51,0.0,40.11219799381227,-0.00022315979,-83.18114094360823,31.01111,0.0,2.1000001,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.7,19.3,175.325,40.1143875,0.0,-83.1770004,140,10367,0.0,0.0,0.0,0.0,253.71,2.0,160.0,0.53,0.33,30.566626,158.41,0.0,40.1120698290227,0.14333344,-83.18107508791289,30.980555,0.0,2.2,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,250.8,19.220001,175.275,40.1142998,0.19,-83.176991,140,10367,0.0,0.0,0.0,0.0,254.01,2.0,161.0,0.53,0.33,30.570223,158.5,0.0,40.11194182733156,0.047628403,-83.18100910804345,31.01111,0.0,2.3,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,250.9,19.06,175.3625,40.1141431,0.0,-83.1769748,140,10367,0.0,0.0,0.0,0.0,254.31,2.0,161.0,0.53,0.33,30.62161,158.6,0.0,40.11178782548096,0.38259315,-83.18093013041494,30.988888,0.0,2.4,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,250.9,19.06,175.375,40.1140564,0.0,-83.1769658,140,10367,0.0,0.0,0.0,0.0,254.61,2.0,161.0,0.53,0.33,30.618528,158.59,0.0,40.11168499233115,0.095479965,-83.18087746151332,31.088888,0.0,2.4,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,250.9,18.84,175.4125,40.1139699,-0.23,-83.1769565,140,10367,0.24,0.0,0.0,0.0,254.91,2.0,161.0,0.53,0.33,30.677626,158.71,0.0,40.11155632347984,0.191185,-83.18081182169617,31.088888,0.0,2.4,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,250.9,18.64,175.375,40.1138846,-0.33,-83.1769475,140,10367,0.24,0.0,0.0,0.0,255.21,2.0,161.0,0.53,0.33,30.738777,158.72,0.0,40.1114274899662,0.38259315,-83.18074599060289,31.161112,0.0,2.3,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.0,18.559998,175.6,40.1137998,0.0,-83.1769388,140,10367,0.24,0.0,0.0,0.0,255.41,2.0,161.0,0.53,0.33,30.775778,158.75,0.0,40.111298156094186,0.14333344,-83.18068033065151,31.183332,0.0,2.3,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.0,18.419998,175.625,40.1137155,0.0,-83.1769303,140,10367,0.24,0.0,0.0,0.0,255.71,2.0,161.0,0.53,0.33,30.85954,158.69,0.0,40.11116865717357,0.23903656,-83.1806144838956,31.305555,0.0,2.3,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.0,18.36,175.6875,40.1136152,0.0,-83.1769204,140,10367,0.0,0.0,0.0,0.0,255.91,2.0,161.0,0.53,0.33,30.903736,158.67,0.0,40.11103882420229,0.191185,-83.18054864609013,31.358334,0.0,2.3,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.1,18.24,175.55,40.1135321,-0.09,-83.1769122,140,10367,-0.24,0.0,0.0,0.0,256.11,2.0,161.0,0.53,0.33,30.977736,158.78,0.0,40.11090882222444,0.047628403,-83.18048250403888,31.358334,0.0,2.3,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.1,18.24,175.525,40.1134655,0.0,-83.1769053,140,10367,-0.48,0.0,0.0,0.0,256.21,2.0,161.0,0.53,0.33,31.07075,158.72,0.0,40.11077865663176,0.191185,-83.18041615728231,31.408333,0.0,2.4,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,18.1,175.3,40.1133664,-0.09,-83.1768947,140,10367,0.24,0.0,0.0,0.0,256.41,2.0,161.0,0.53,0.33,31.011652,158.68,0.0,40.110648324020346,0.191185,-83.1803494816685,31.544443,0.0,2.6000001,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.2,17.98,175.3625,40.1132842,-0.19,-83.176886,140,10367,0.0,0.0,0.0,0.0,256.51,2.0,161.0,0.53,0.33,31.157084,158.62,0.0,40.11051765844566,0.047628403,-83.18028246824781,31.555555,0.0,2.6000001,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.3,17.86,175.4125,40.1132028,-0.09,-83.1768774,140,10367,0.0,0.0,0.0,0.0,256.61,2.0,161.0,0.53,0.33,31.215153,158.69,0.0,40.11038665717225,0.14333344,-83.18021548391101,31.627777,0.0,2.6000001,0.0,0.0,2.0,0.0,0.0,0.488266
0,0,32,251.3,17.74,175.3375,40.1131379,-0.04,-83.1768705,140,10367,0.0,0.0,0.0,0.0,256.71,2.0,161.0,0.53,0.33,31.313305,158.75,0.0,40.11025548942573,0.14333344,-83.18014849733859,31.638887,0.0,2.6000001,0.0,0.0,2.0,0.0,0.0,0.488266
0,0,32,251.3,17.62,175.275,40.1130415,-0.14,-83.1768602,140,10367,0.0,0.0,0.0,0.0,256.71,2.0,161.0,0.53,0.33,31.375486,158.99,0.0,40.11012365188167,-0.3351879,-83.18008171772196,31.775,0.0,1.8000001,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.3,17.54,175.2125,40.1129614,-0.14,-83.1768513,140,10367,-0.24,0.0,0.0,0.0,256.81,2.0,161.0,0.53,0.33,31.32564,158.75,0.0,40.10999198942528,-0.00022315979,-83.18001533067705,31.669443,0.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,17.44,174.9875,40.112882,-0.14,-83.1768423,140,10367,-0.24,0.0,0.0,0.0,256.71,2.0,161.0,0.53,0.33,31.37343,158.81,0.0,40.1098601550229,-0.00022315979,-83.17994851077263,31.733334,0.0,2.1000001,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,17.32,174.9375,40.112803,0.0,-83.1768333,140,10367,-0.24,0.0,0.0,0.0,256.81,2.0,161.0,0.53,0.33,31.404778,158.85,0.0,40.10972832098278,-0.19163132,-83.17988185306018,31.76389,0.0,2.8,0.0,0.0,2.0,0.0,0.0,0.488266
0,0,32,251.2,17.26,174.8125,40.11274,0.0,-83.1768257,140,10367,-0.24,0.0,0.0,0.0,256.71,2.0,161.0,0.53,0.33,31.401695,158.84,0.0,40.10959665449209,0.047628403,-83.17981518415807,31.691666,0.0,2.7,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,17.14,174.8625,40.112646,-0.09,-83.1768146,140,10367,0.24,0.0,0.0,0.0,256.71,2.0,161.0,0.53,0.33,31.48289,158.97,0.0,40.10946448555816,-0.00022315979,-83.17974904659069,31.827776,0.0,2.5,0.0,0.0,2.0,0.0,0.0,0.488266
0,0,32,251.2,17.06,175.0,40.1125839,0.0,-83.1768076,140,10367,0.24,0.0,0.0,0.0,256.61,2.0,161.0,0.53,0.33,31.460278,159.11,0.0,40.109332149839865,-0.048074722,-83.17968291126878,31.827776,0.0,2.4,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,17.06,175.0,40.1125839,0.0,-83.1768076,140,10367,0.24,0.0,0.0,0.0,256.61,2.0,161.0,0.53,0.33,31.536333,159.02,0.0,40.10919965136593,-0.14377975,-83.17961655778844,31.86111,0.0,2.4,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.3,16.84,175.3,40.1124294,-0.04,-83.1767909,140,10367,0.24,0.0,0.0,0.0,256.41,2.0,161.0,0.53,0.33,31.488543,159.12,0.0,40.109066983004645,-0.14377975,-83.1795505801793,31.838888,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,251.3,16.82,175.4375,40.1123986,0.0,-83.1767877,140,10367,0.48,0.0,0.0,0.0,256.41,2.0,161.0,0.53,0.33,31.506014,159.11,0.0,40.108934316505845,-0.14377975,-83.17948457794272,31.86111,0.0,1.9,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.3,16.7,175.4,40.1122613,-0.04,-83.1767735,140,10367,0.0,0.0,0.0,0.0,256.21,2.0,161.0,0.53,0.33,31.520403,159.1,0.0,40.108801650007344,-0.095926285,-83.17941857570622,31.883333,0.0,1.7,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,16.68,175.4125,40.1122004,-0.04,-83.176767,140,10367,0.0,0.0,0.0,0.0,256.11,2.0,161.0,0.53,0.33,31.509611,159.01,0.0,40.10866898486945,-0.28733444,-83.17935222222643,31.849998,0.0,1.7,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,16.62,175.35,40.1121396,0.04,-83.1767605,140,10367,0.0,0.0,0.0,0.0,256.01,2.0,161.0,0.53,0.33,31.51218,158.91,0.0,40.10853631992994,-0.28733444,-83.17928586651162,31.86111,0.0,1.7,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,16.62,175.35,40.1121396,0.04,-83.1767605,140,10367,0.0,0.0,0.0,0.0,255.81,2.0,161.0,0.53,0.33,31.515778,158.87,0.0,40.10840382062906,-0.19163132,-83.17921919089498,31.786112,0.0,1.9,0.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,251.2,16.62,175.35,40.1121396,0.04,-83.1767605,140,10367,0.0,0.0,0.0,0.0,255.61,2.0,160.0,0.53,0.33,31.511152,158.83,0.0,40.10827115466632,-0.095926285,-83.17915218194574,31.827776,0.0,2.2,0.0,0.0,2.0,0.0,0.0,0.24412537
0,0,32,300.4,25.7,171.5375,40.2926448,0.09,-83.5054107,102645,17342,-2.19,0.0,0.0,0.0,300.68,2.0,163.0,0.92,0.45,24.893806,147.22,0.0,40.28256148921251,0.095479965,-83.49750153675359,24.808332,0.0,-1.9,5.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.4,25.7,171.5375,40.2926448,0.09,-83.5054107,102645,17342,-2.19,0.0,0.0,0.0,300.68,2.0,164.0,0.94,0.45,25.012514,147.3,0.0,40.28246581564628,-0.3351879,-83.497422059274,24.702778,0.0,-2.0,4.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.4,25.7,171.5375,40.2926448,0.09,-83.5054107,102645,17342,-2.19,0.0,0.0,0.0,300.58,2.0,164.0,0.94,0.45,24.784348,147.54,0.0,40.28237096175917,-0.4787426,-83.49734362689195,24.494444,0.0,-2.4,3.0,0.0,2.0,0.0,0.0,-0.24415588
0,0,32,300.7,25.82,163.2875,40.2921535,0.0,-83.5052711,102645,17342,-5.37,0.0,0.0,0.0,300.48,2.0,164.0,0.94,0.45,24.24939,147.27,0.0,40.2821838182301,-0.6222992,-83.49718771752423,24.097221,0.0,-0.1,3.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.7,25.82,163.2875,40.2921535,0.0,-83.5052711,102645,17342,-5.37,0.0,0.0,0.0,300.38,2.0,164.0,0.94,0.45,24.097792,147.41,0.0,40.28209163953149,-0.43089104,-83.49711092361619,23.869444,0.0,-0.4,3.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.8,25.98,157.5625,40.2919172,0.0,-83.5051557,102645,17342,-5.12,0.0,0.0,0.0,300.28,2.0,164.0,0.95,0.45,23.984222,147.69,0.0,40.28199978235594,-0.3351879,-83.49703500257236,23.627777,0.0,-1.2,3.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.8,25.98,157.5625,40.2919172,0.0,-83.5051557,102645,17342,-5.12,0.0,0.0,0.0,300.18,2.0,165.0,0.95,0.45,23.746292,147.61,0.0,40.28190862247092,-0.23948288,-83.49695964667562,23.488888,0.0,-1.3000001,3.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,300.8,25.98,157.5625,40.2919172,0.0,-83.5051557,102645,17342,-5.12,0.0,0.0,0.0,300.08,2.0,165.0,0.95,0.45,23.32593,147.46,0.0,40.28181846858507,-0.3351879,-83.49688543772855,23.26389,0.0,-1.2,3.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,298.8,6.24,129.8125,40.2780883,1.62,-83.4876644,102645,17342,0.73,0.0,1.0,0.0,295.38,2.0,161.0,0.58,0.36,24.860403,219.98,0.0,40.27199478063152,-0.8615589,-83.49395897624487,24.477776,0.0,-1.9,2.0,0.0,2.0,0.0,0.0,-0.4882965
0,0,32,298.8,6.3,128.975,40.2780812,-1.05,-83.4876529,102645,17342,0.73,0.0,1.0,0.0,295.38,2.0,162.0,0.57,0.35,24.342403,219.81,0.0,40.2719095833742,-1.5314865,-83.49405194368497,23.8,0.0,0.4,2.0,0.0,2.0,0.0,0.0,-0.24415588
0,0,32,298.8,6.3,128.975,40.2780812,-1.05,-83.4876529,102645,17342,0.73,0.0,1.0,0.0,295.28,2.0,161.0,0.57,0.36,23.454403,220.0,0.0,40.2718274509017,-1.8664513,-83.49414231336581,22.98611,0.0,0.1,2.0,0.0,2.0,0.0,0.0,-1.5258789e-05
0,0,32,298.8,6.3,128.975,40.2780812,-1.05,-83.4876529,102645,17342,0.73,0.0,1.0,0.0,295.28,2.0,160.0,0.58,0.36,22.492916,220.66,0.0,40.27174840372887,-2.1535625,-83.49422960517852,22.099998,0.0,-0.90000004,1.0,0.0,2.0,0.0,0.0,-0.24415588
0,0,32,298.0,8.58,207.1875,40.2778618,2.48,-83.487524,102645,17342,17.57,0.0,1.0,0.0,295.78,2.0,162.0,0.57,0.35,12.531694,219.04,0.0,40.27119844574783,-2.105711,-83.49482812800055,12.013889,0.0,-1.9,2.0,0.0,2.0,0.0,0.0,-0.4882965
0,0,32,297.9,9.5,212.05,40.277842,3.01,-83.4875413,102645,17342,12.2,0.0,1.0,0.0,295.98,2.0,163.0,0.57,0.35,11.338445,219.28,0.0,40.27115715514607,-2.2971191,-83.49487250798781,10.797222,0.0,-2.0,2.0,0.0,2.0,0.0,0.0,-0.24415588
